,여행,공연,영화
0,덕수궁,세종문화회관 M씨어터,롯데시네마 에비뉴엘
1,서울광장,국립정동극장 세실,씨네큐브광화문
2,청계광장,CKL스테이지,에무시네마
3,웨스틴 조선 서울,세종문화회관,CGV 명동
4,롯데호텔 서울,국립정동극장,CGV 피카디리1958
5,더 플라자 호텔 서울,세종문화회관 대극장,CGV 명동역
6,포시즌스호텔서울,샤롯데홀,서울아트시네마
7,정동전망대,국립극단 명동예술극장,대한극장
8,피맛골,세종문화회관 S씨어터,청춘극장
9,덕수궁대한문,서울코미디클럽,허리우드극장
10,이순신장군동상,명동난타극장,코리아극장
11,덕수궁돌담길,명보아트홀,오픈시네마
12,코리아나 호텔,두산아트센터,명보아트시네마
13,세실극장옥상전망대,홍익대학교 대학로 아트센터,메가박스 동대문
14,환구단,세종문화회관 체임버홀,충무로영상센터 오재미동
15,서울빛초롱축제,우미관극장,CGV 대학로
16,알로프트 서울 명동,경향아트힐,서울노인복지센터디지털상영관
17,롯데호텔 서울 이그제큐티브 타워,대학로 JTN 아트홀,CGV 동대문
18,프레지던트 호텔,국립극장,바다극장
19,호텔미드시티명동,홍익대학교대학로아트센터 대극장,오드 프레젠트
20,경복궁,충무아트센터,아트하우스 모모
21,뉴서울호텔,엠스테이지,메가박스 신촌
22,UH Suite Central Seoul,서울돈화문국악당,브로드웨이아트홀 2관
23,요기는 무인호텔,명보아트홀 페인터즈 전용관,필름포럼
24,돈의문박물관마을,팡타개라지,CGV 용산아이파크몰
25,UH Suite Seoul Square,농협NH아트홀,CGV 신촌아트레온
26,크라운파크 호텔 서울,유니플렉스,2022 FRIEDSCREEN
27,청진공원,인사아트홀,백두대간
28,쌈지길,서울남산국악당,청계극장 매점
29,르서울호텔,푸르지오 아트홀,하이퍼텍나다(폐관)
30,트레블로지 명동 시티홀 호텔,뮤지컬점프,필레마
31,광화문광장,정극장 행오버,생존
32,창덕궁,북촌창우극장,롯데시네마 용산
33,종묘,국립극장 해오름극장,라이카시네마
34,플라자스파클럽,남인사마당,CGV 왕십리
35,덕수궁정관헌,예스24스테이지,CGV 연남
36,호텔토마스명동,드라마센터,CGV 성신여대입구
37,대우모텔,북아현아트홀,롯데시네마 홍대입구
38,알프스모텔,호암아트홀,메가박스 홍대
39,명동거리,드림아트센터,CGV 홍대
40,문화역서울284,모두의 극장,메가박스 성수점
41,광화문광장해치마당,삼일로창고극장,CGV 여의도
42,북촌 한옥마을,국립극단 백성희장민호극장,인디스페이스
43,세종대왕동상,경향아트힐 페인터즈 전용관,롯데시네마 청량리점
44,남산골한옥마을,북촌나래홀,아리랑시네센터
45,고종즉위40년칭경기념비,KT&G상상유니브 서울아틀리에,메가박스 코엑스
46,조선호텔 비지니스센터,동자아트홀,CGV 압구정
47,2023 여성리더스포럼,JTN 아트홀 1관,CGV 영등포
48,창경궁,을지공간,롯데시네마 합정점
49,인사동문화의거리,대학로티오엠,CGV 청담씨네시티
50,숭례문,달밤엔씨어터,독립영화전용관 아리랑시네미디어센터
51,게스트하우스 버스,라온아트홀 / 연극 한뼘사이,메가박스 상암월드컵경기장점
52,정동 야행,JTN 아트홀 4관,롯데시네마 월드타워점
53,더케이제주호텔,허리우드 스카이쇼 공연장,롯데시네마 건대입구점
54,로컬스티치 시청 Local Stitch Cityhall,명동의낭만명랑시장,KT&G 상상마당 시네마
55,경희궁,링크아트센터,롯데시네마 브로드웨이
56,샹그릴라인터내셔날호텔마케팅코리아,정동이벤트홀,메가박스 센트럴
57,광화모텔,플러스씨어터,롯데시네마 영등포
58,동아일보사옥,신세계 메사홀,CGV 강남
59,스몰하우스 빅도어,콘텐츠박스,CGV 불광
60,운현궁,바탕골소극장,메가박스 상암
61,24게스트하우스 서울시청점,서연아트홀,살곶이자동차극장
62,가을단풍길(덕수궁길),아트포레스트,메가박스 더 부티크 목동현대백화점
63,호텔박사,댕로홀,메가박스 강남
64,남산케이블카,틴틴홀,메가박스 이수점
65,글로카로카 광화문,후암씨어터,CGV 미아점
66,투어데스크,해피시어터/연극라면,메가박스 목동지점
67,덕수궁매표소,미소공연장,CGV 건대입구
68,부영소공동호텔(2023년예정),정동문화예술회관,이봄 씨어터
69,열린송현 녹지광장,한국불교역사 문화기념관불교전통문화공연장,메가박스 군자
70,서울광장안내매표소,세우아트센터,CGV 강변
71,탑골공원,클래식전용콘서트홀,롯데시네마 은평
72,나인트리 프리미어 호텔 인사동,공간서로,롯데시네마 신림
73,광화문,경복궁아트홀,서울영화센터(2024년예정)
74,그린콘크리트,펑키하우스,메가박스 상봉점
75,덕수궁석어당,업스테이지,롯데시네마 서울대입구
76,신라스테이 광화문,룸씨어터,롯데시네마 신대방
77,경북착한사과페스티벌,국립극단 소극장 판,롯데시네마 도곡
78,포포인츠 바이 쉐라톤 조선 서울 명동,한성아트홀 제1관,씨네Q 신도림점
79,한일여관,하마씨어터,롯데시네마 신도림
80,호텔롯데서울 웨딩센터,충무아트센터 대극장,모노플렉스
81,광화여관,아트라운지멋진하늘,롯데시네마 중랑
82,신라스테이 서대문,뮤지컬셰프 가온홀,CGV 등촌점
83,N서울타워,JTN 아트홀 3관,성미산마을극장
84,조계사 템플스테이,JTN 아트홀 2관,메가박스 고양스타필드
85,코트야드 메리어트 서울 남대문,한경arte필하모닉,메가박스 씨티
86,다동무교동음식문화의거리,케이에스앤엔터테인먼트,CGV 상봉
87,서울관광호텔,컬쳐씨어터,CGV 수유
88,커무브,시온아트홀,CGV 구로
89,에스호텔,도토리씨어터,쇼타임즈
90,MOON hotel&guesthouse,아크홀,넥스트비쥬얼스튜디오 시사실
91,호스텔 코코,쇼비보이,메가박스 아트나인
92,서촌마을,해치홀,롯데시네마 노원
93,창덕궁 돈화문,파랑씨어터,롯데시네마 수유
94,덕수궁중화문,구세군아트홀,롯데시네마 김포공항
95,청계천민속놀이,아르코예술극장,롯데시네마 가양
96,광화문관광안내소,졸탄극장,KU씨네마테크
97,박물관은살아있다 인사동점,스튜디오 백,메가박스 마곡
98,에이퍼스트호텔,정동 도깨비스톰 전용관,CGV 천호
99,사직단,에이치씨어터,롯데시네마 가산디지털
