document,label
삼성 페이,11
LG 페이,11
Apple Pay,11
페이나우,11
SK페이,11
Google Pay,11
원페이,11
페이북/ISP,11
핀페이,11
삼성앱카드,11
롯데카드 LIFE,11
KB Pay,11
NH pay,11
신한pLay,11
씨티모바일,11
하나Pay,11
신한 Pay,11
KB Pay,11
우리WON뱅킹,11
sum뱅크,11
iM뱅크,11
투유뱅크개인,11
수협파트너뱅크개인,11
NH앱캐시,11
케이뱅크페이,11
MG상상뱅크,11
우체국페이,11
네이버페이,11
카카오페이,11
페이코,11
L.PAY,11
SSG PAY,11
GS PAY,11
CU 간편결제,11
H.Point Pay,11
스마일페이,11
쿠페이,11
위메프페이,11
티몬페이,11
번개페이,11
헬로페이,11
당근페이,11
교보페이,11
세이페이,11
해피페이,11
컴퓨존페이,11
케이페이,11
토스페이,11
페이앱NFC,11
차이페이,11
티머니페이,11
미래에셋페이,11
현대 카페이,11
기아페이,11
티웨이페이,11
배민페이,11
코리아승무원학원,12
그린컴퓨터아카데미 노원캠퍼스,12
한국항공직업전문학교,12
녹천자동차운전전문학원,12
로고스 논술구술 아카데미,12
케이드림간호학원,12
메이드 수리논술,12
아이엘이 어학원,12
해커스어학원 강남역캠퍼스 본관,12
올댓뷰티아카데미학원 강남점,12
오에프디댄스학원,12
토마스아카데미학원,12
YBM어학원 e4u종로센터,12
킴스애견미용학원,12
트윈클어학원,12
ABC승무원학원 강남점,12
서초동 음악공간,12
박코치어학원 강남캠퍼스,12
YBM어학원 신촌센터,12
김영편입학원 강남단과캠퍼스,12
파고다어학원 강남,12
잼실용음악학원,12
서울패션직업전문학교,12
주한영국문화원 성인어학원 을지로센터,12
SM논술학원 대치점,12
하비실용음악학원 은평점,12
인사이트어학원,12
서경대 풋살파크,12
티아이 연기학원,12
젠테라피 네츄럴 힐링센터,12
DYB 최선어학원 송파,12
폴리어학원 목동캠퍼스,12
해커스경찰학원 노량진캠퍼스,12
파고다어학원 종로타워,12
SBS아카데미컴퓨터아트학원 강남점,12
운전면허시험관리단,12
DYB최선어학원 대치 본원,12
한국보건의료인국가시험원,12
오피아어학원 강남점,12
블랙몽키스튜디오 2호점,12
톡톡어학원 마곡점,12
미래인재경찰학원,12
SBS아카데미컴퓨터아트학원 홍대점,12
퍼스트바리스타제과제빵학원 홍대점 신관,12
SM논술학원 목동점,12
어셔어학원본관,12
발레온도 사당점,12
세움스피치학원,12
박기호 논술학원,12
나무경영아카데미,12
올댓바스켓 대치점,12
시사일본어학원 종로캠퍼스,12
김영편입플러스 신촌캠퍼스,12
안단테꽃예술직업학교,12
엠아이어학원 대치본원,12
엠아이어학원 서초캠퍼스,12
하이미디어컴퓨터학원 종로캠퍼스,12
김영편입 잠실캠퍼스,12
SLP 목동,12
시사일본어학원 강남캠퍼스,12
뮤닥터아카데미 본관,12
AIFA 우리경영아카데미,12
김영편입플러스 강남캠퍼스,12
발레온도,12
펠리스스페인어학원 강남캠퍼스,12
YBM어학원 종로센터,12
컬컴 건대점,12
엠아이어학원 송파캠퍼스,12
아이스피크어학원,12
본스타트레이닝센터,12
맘보바리스타제과제빵학원 홍대지점,12
발레드본,12
극한스피킹,12
은규네스튜디오 본사,12
스카이영어학원,12
김영편입 노원캠퍼스,12
올댓뷰티아카데미학원 노원점,12
채움스피치학원,12
나레스트아카데미 청량리캠퍼스,12
핀스피치학원 강남점,12
메가스터디 뷰티아카데미,12
MK논술학원,12
덕스어학원,12
닥터브로우 반영구학원 강남점,12
SDA삼육어학원 서울본점,12
해커스공무원 노량진캠퍼스,12
톡톡어학원 홍대점,12
서울패러글라이딩,12
JY테니스,12
씨앤에이논술 대치점,12
케이엔에스에듀 초등관,12
최덕황애견미용학원,12
모아소방전기학원,12
민병철어학원 강서점,12
하비실용음악학원,12
파고다 종로,12
음악연습실 스튜디오 피네,12
이맥스어학원,12
파고다원 종로센터,12
서울예술실용전문학교,12
요가 더원,12
YBM어학원 종로이포유센터,12
도도홀 무용연습실 서초점,12
스와튼 아카데미,12
삼보어학원,12
이노블스 목동직영점,12
612어학원 강남점,12
SBS아카데미컴퓨터아트학원 노원점,12
이바우펫애견미용학원 강남아카데미,12
폴리어학원 대치매그넷캠퍼스,12
STS BOXING,12
현재어학원 목동제2캠퍼스,12
리스펙트 킥복싱 아카데미,12
랑발레 스튜디오,12
조져비트 스튜디오,12
해커스잡 취업아카데미,12
에이스애견미용학원 일산점,12
IT 코딩 국비지원 백엔드 빅데이터 클라우드 취업 학원,12
석세스취업학원,12
IT국비취업학원,12
IT 국비지원 코딩 백엔드 빅데이터 클라우드 취업 학원,12
공무원 취업면접 이루다스피치학원 노량진점,12
에듀윌 취업아카데미 강남캠퍼스,12
원흥요양보호사교육원,12
드론존,12
케어에듀은평요양보호사교육원,12
W스피치학원 강남점,12
키움스피치면접학원 노량진본원,12
에듀윌 국비교육원 부평센터,12
핀스피치학원 서울노량진점,12
마이멘토 면접학원,12
인스카이승무원학원,12
국제커리어센터 서울서부지점,12
VFXLAB,12
BCCA 승무원학원,12
키움스피치면접학원 강남점,12
종로요양보호사교육원,12
한빛간호학원,12
일취,12
한국아파트빌딩경리전문학원 구로디지털본원,12
이화간호학원,12
재단법인 서울현대교육재단,12
끌디자인,12
국비지원컴퓨터학원,12
라온제나스피치학원 강남점,12
위드스피치학원,12
부평타일학원,12
논현요양보호사교육원,12
MD교육아카비전,12
솔데스크,12
중앙정보처리학원,12
중앙법률사무교육원,12
마리나스피치학원,12
연세간호조무사학원,12
아이비알뷰티아카데미 성남분당캠퍼스,12
광명시드론교육원,12
현대CAD디자인직업전문학교,12
이바우펫애견미용학원 분당아카데미,12
인지어스 상암지사,12
범계간호학원,12
크루온에어 승무원 면접 진학지도 교습소,12
한국장애인고용공단 서울맞춤훈련센터,12
가온스피치 앤 퍼스널브랜딩,12
제이패션랩,12
국제커리어센터 서울남부,12
벨라루시애견미용학원 분당본원,12
혜민간호학원,12
국제호텔직업전문학교,12
구트아카데미 자바학원,12
새빛드론,12
IT국비 대우직업능력개발원,12
하남미사간호학원,12
U스피치,12
아이티윌,12
인지어스 서울남부지사,12
Once in English,12
신당요양보호사교육원,12
유메테크놀로지코리아,12
제이엠커리어 서울서부지사,12
비트캠프 강남본원,12
글로벌인,12
탑스논술,12
라움 아카데미,12
이현꽃예술학원,12
유앤아이용접학원,12
NY스피치,12
인지어스 서울서부지사,12
플레이데이터 동작캠퍼스,12
송파여성인력개발센터 부설 요양보호사교육원,12
내일배움 국비지원학원,12
오라클자바교육센터,12
에어컨설치기술학원,12
지에프엑스클래스학원,12
코딩학원,12
국제커리어센터 경기안양,12
아지트컴퓨터학원,12
코세아인재개발원,12
카스아카데미,12
원 스피치,12
국제커리어센터 서울동부,12
세이가쿠샤코리아,12
페어링,12
인지어스 인천남동구지사,12
국제커리어센터 서울강남지점,12
메디피아아카데미,12
epee 에페슈즈앤백디자인학원,12
강동엔클렉스,12
국제커리어센터 경기안산,12
그리드웍스,12
한국팔로워십센터,12
포천간호학원,12
나다움스피치,12
JG취업학원,12
인지어스 서울동대문지사,12
커리어랩,12
케이마스터즈,12
빠담뷰디자인하우스,12
두뇌로수학 치타클래스,12
강남캐디사관학교,12
에이케이인재개발센터,12
아라학원,12
오즈커리어 코리아,12
EU프랑스유학회,12
광명시스마트인력개발센터,12
인지어스 경기성남지사,12
위포트토커비별관평생교육시설,12
알렉스커리어컴퍼니,12
인크레파스 자바교육학원,12
커리어조이,12
샐리코치,12
연세인재개발원,12
잡스런공간,12
노진식취업멘토스쿨,12
고강철뷰티아카데미 대전미용취업창원지원센터학원,12
동이쌤의 취업컨설팅,12
황제펭귄취업아카데미,12
대성직업전문학교,12
뉴컴퓨터학원,12
한국스피치학원 서면점,12
영통경기요양보호사교육원,12
이서현의 말하는스피치,12
다온용접학원,12
꽃담요양보호사교육원,12
프로펫애견미용학원 수원점,12
동탄신리요양보호사교육원,12
김영편입학원 대전캠퍼스,12
성모요양보호사교육원,12
용인간호학원,12
대성인테리어기술학원,12
한국아이티전문학원,12
고색요양보호사교육원,12
MBC아카데미 미용학원,12
익산컴퓨터전문학원,12
에어플랜 항공면접학원,12
하단레몬요양보호사교육원,12
새로이스피치,12
SBS아카데미뷰티스쿨 대구캠퍼스,12
공감스피치리더십교육학원,12
마스터용접학원,12
이천간호학원,12
박쌤의 키움 스피치&논술,12
구미직업능력개발학원,12
윤치영면접스피치학원,12
에듀스카이항공승무원학원,12
경희요양보호사교육원,12
이찌방외국어학원,12
박봉식 스피치아카데미,12
첨단간호전문학원,12
마이키즈스피치학원,12
미래직업전문학교,12
에듀코딩&IT학원,12
에어라인리더,12
유앤아이잉글리쉬 원어민 영어회화,12
국제직업전문학교 광주점,12
원어민 일대일 영어회화 유앤아이잉글리쉬,12
7AM스터디,12
블랙시저스 이용학원,12
진주직업전문학교,12
창원직업전문학교,12
아우라뷰티칼리지미용학원 포항캠퍼스,12
홍주제과기술학원,12
